GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
Shot Chart Detail,0021400003,18,201935,James Harden,1610612745,Houston Rockets,1,9,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,39,1,0
Shot Chart Detail,0021400003,39,201935,James Harden,1610612745,Houston Rockets,1,8,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,0
Shot Chart Detail,0021400003,41,201935,James Harden,1610612745,Houston Rockets,1,8,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-232,110,1,1
Shot Chart Detail,0021400003,95,201935,James Harden,1610612745,Houston Rockets,1,4,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-146,135,1,0
Shot Chart Detail,0021400003,120,201935,James Harden,1610612745,Houston Rockets,1,2,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,22,1,1
Shot Chart Detail,0021400003,214,201935,James Harden,1610612745,Houston Rockets,2,8,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-46,246,1,0
Shot Chart Detail,0021400003,241,201935,James Harden,1610612745,Houston Rockets,2,5,49,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-21,249,1,1
Shot Chart Detail,0021400003,252,201935,James Harden,1610612745,Houston Rockets,2,4,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,181,165,1,1
Shot Chart Detail,0021400003,254,201935,James Harden,1610612745,Houston Rockets,2,4,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,69,189,1,0
Shot Chart Detail,0021400003,272,201935,James Harden,1610612745,Houston Rockets,2,2,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1
Shot Chart Detail,0021400003,279,201935,James Harden,1610612745,Houston Rockets,2,2,11,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,36,1,0
Shot Chart Detail,0021400003,300,201935,James Harden,1610612745,Houston Rockets,2,1,8,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,162,14,1,0
Shot Chart Detail,0021400003,318,201935,James Harden,1610612745,Houston Rockets,2,0,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,0
Shot Chart Detail,0021400003,385,201935,James Harden,1610612745,Houston Rockets,3,7,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-46,173,1,0
Shot Chart Detail,0021400003,409,201935,James Harden,1610612745,Houston Rockets,3,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,1
Shot Chart Detail,0021400003,456,201935,James Harden,1610612745,Houston Rockets,3,2,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1
Shot Chart Detail,0021400003,481,201935,James Harden,1610612745,Houston Rockets,3,0,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-108,227,1,0
Shot Chart Detail,0021400012,25,201935,James Harden,1610612745,Houston Rockets,1,8,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-10,42,1,0
Shot Chart Detail,0021400012,51,201935,James Harden,1610612745,Houston Rockets,1,4,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-209,11,1,0
Shot Chart Detail,0021400012,55,201935,James Harden,1610612745,Houston Rockets,1,4,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,1,1,1
Shot Chart Detail,0021400012,62,201935,James Harden,1610612745,Houston Rockets,1,3,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,89,1,0
Shot Chart Detail,0021400012,73,201935,James Harden,1610612745,Houston Rockets,1,2,45,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,23,1,0
Shot Chart Detail,0021400012,147,201935,James Harden,1610612745,Houston Rockets,2,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,19,1,1
Shot Chart Detail,0021400012,165,201935,James Harden,1610612745,Houston Rockets,2,3,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,22,1,0
Shot Chart Detail,0021400012,188,201935,James Harden,1610612745,Houston Rockets,2,1,40,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,22,1,0
Shot Chart Detail,0021400012,198,201935,James Harden,1610612745,Houston Rockets,2,1,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-54,181,1,1
Shot Chart Detail,0021400012,204,201935,James Harden,1610612745,Houston Rockets,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,155,194,1,1
Shot Chart Detail,0021400012,227,201935,James Harden,1610612745,Houston Rockets,3,9,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,157,-24,1,0
